,6000,6037,6059,6073,6999,8000,8001,8005,8031,8041,8059,8999,12000,12095,12999,13000,13067,13089,13121,13135,13999,17000,17031,17043,17999,26000,26125,26163,26999,34000,34003,34017,34023,34999,36000,36047,36061,36081,36999,37000,37119,37183,37999,39000,39035,39049,39999,42000,42003,42101,42999,48000,48113,48201,48453,48999,53000,53033,53053,53061,53999,98000,199000,199909,199923,199925,199933,199944,199950,299000,299918,299919,299920,299927,299929,299931,299938,299946,299955,399000,399901,399905,399910,399911,399921,399922,399924,399928,399940,399945,399947,399951,399954,499000,499904,499915,499916,499930,499932,499935,499941,499949,499956
6000,0,0,0,16,22260,2906,175,257,420,696,288,1070,476,0,508,435,36,0,0,93,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,121,147,307,0,0,0,0,0,0,0,0,5222,626,388,0,4794,7583,2685,981,769,3148,2534,0,0,0,0,0,0,19,0,0,67,15,0,0,116,0,35,0,0,0,161,0,0,0,55,0,5,133,152,652,0,0,30601,6641,226,2387,277,9210,269,9605,1914,72
6037,19389,0,3504,645,15240,757,78,102,99,109,74,295,64,0,94,364,38,16,0,52,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,40,45,82,0,0,0,0,0,0,0,0,1406,246,173,0,1386,1667,643,176,143,705,615,0,0,0,0,0,0,0,0,0,33,9,0,0,22,0,27,0,0,0,56,0,0,0,15,0,3,19,50,212,0,0,7575,1609,95,383,75,3165,112,1612,504,20
6059,258,0,0,374,3388,403,44,20,20,109,37,173,184,19,165,65,7,0,15,0,49,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,34,0,0,116,30,11,75,0,0,0,0,0,0,0,0,753,88,74,8,583,732,241,96,66,329,233,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,114,0,36,0,14,11,3,0,0,24,62,94,0,0,2787,703,22,257,49,667,55,749,285,0
6073,30,0,0,0,1049,236,3,0,19,102,5,122,0,0,0,19,0,0,0,34,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,19,136,0,0,0,0,0,0,0,0,958,90,74,49,745,1064,338,120,94,512,0,0,0,0,0,0,0,0,0,1,20,9,17,0,30,2,8,0,0,3,9,0,0,0,50,0,2,7,0,70,0,0,2809,794,0,298,81,558,51,894,216,30
6999,0,0,0,0,0,1510,50,150,282,376,172,480,281,0,294,0,0,0,0,9,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,61,72,14,0,0,0,0,0,0,0,0,2105,202,67,0,2080,4120,1463,589,466,1602,2098,0,0,0,0,0,30,25,0,0,20,6,0,9,72,0,0,0,0,0,60,0,0,23,0,0,0,83,43,276,0,0,17430,3535,222,1449,72,4820,51,6350,909,22
8000,0,0,0,0,0,0,1491,218,0,85,811,2171,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,215,239,110,202,72,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,17,20,0,0,0,0,0,72,0,4,3,0,0,865,599,0,69,205,55,0,479,20,0
8001,0,0,0,0,12,0,0,0,0,51,0,602,81,0,81,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,56,7,27,22,0,19,0,0,0,0,0,0,0,68,0,26,10,14,13,0,0,20,0,29,0,0,0,0,0,0,0,0,29,0,0,0,0,209,139,0,22,22,0,0,22,23,0
8005,0,0,0,15,0,0,190,0,0,46,177,870,33,0,56,12,9,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,32,37,8,13,6,10,67,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,147,0,0,45,40,0,27,0,8
8031,0,0,0,0,0,3608,1180,1314,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,79,19,7,40,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,107,0,0
8041,0,0,0,0,0,40,0,0,175,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,290,27,137,17,109,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,20,0,0,0,0,0,72,17,25,0,0,0,18,24,0,42,21,0,0,94,0,0
8059,0,0,0,0,0,0,644,0,0,72,0,356,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,27,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,95,0,7,49,18,0,53,0,1
8999,0,0,0,0,0,0,0,0,540,91,0,0,23,9,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,66,193,100,42,31,20,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,435,268,41,28,72,42,0,176,62,0
12000,511,8,0,129,406,1080,75,106,426,105,78,290,0,0,5631,1108,71,239,332,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,338,211,441,0,0,0,0,0,0,0,0,0,255,94,0,702,931,527,151,107,146,1009,0,0,0,0,0,0,0,0,0,41,0,0,0,18,0,0,0,0,0,0,0,100,0,124,0,81,32,448,265,0,0,677,226,0,0,0,175,0,301,36,0
